Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp
0.0,0,4742791.40386494,4693005.59195581,4822924.27082485,4785168.72149774,4648584.60586008,4759526.77127081,4687571.88831103,4773015.14035017,1686223216.292487
1.0,0,4742542.84796601,4692738.94753205,4822647.89227131,4784891.34360916,4648287.0811466,4759204.90782942,4687209.95243239,4772714.00840583,1686223216.292513
2.0,0,4742830.36454425,4692996.57563655,4822887.40461769,4785145.92579118,4648539.872716,4759452.37181071,4687464.05803894,4772978.57687074,1686223216.292532
3.0,0,4741696.71860944,4691857.02849513,4821736.44182235,4783999.96052106,4647403.12250235,4758318.24874863,4686334.29230033,4771822.17142496,1686223216.292552
4.0,0,4742781.60506244,4692960.49874836,4822811.09534677,4785059.46330153,4648460.5980361,4759349.66814859,4687320.74328803,4772859.54420027,1686223216.292573
5.0,0,4743265.75552325,4693448.29266371,4823276.94000922,4785544.98164093,4648971.93355451,4759890.87613339,4687904.027548,4773404.14592239,1686223216.292594
6.0,0,4742746.53647193,4692963.72536794,4822791.81962498,4785015.99469878,4648430.0016707,4759336.18256426,4687298.34172412,4772848.60119406,1686223216.292616
7.0,0,4742922.30018605,4693114.82269958,4822992.21733106,4785230.17313225,4648645.5226652,4759548.9165318,4687519.24636356,4773067.3924581,1686223216.292639
8.0,0,4742935.03583657,4693123.71543434,4823010.2783505,4785246.96362065,4648659.43083405,4759560.18129375,4687529.17337278,4773073.5124228,1686223216.292662
9.0,0,4743046.12433891,4693197.00111916,4823081.67244849,4785357.73889381,4648776.38514081,4759686.74621119,4687715.04220784,4773202.22296156,1686223216.292707
10.0,0,4743031.97511165,4693191.2016821,4823059.43794906,4785331.41374023,4648742.80481783,4759650.75759006,4687705.97119326,4773183.96751936,1686223216.292733
11.0,0,4742811.32517136,4692968.57665126,4822828.50854407,4785102.5081155,4648526.70335783,4759446.25084765,4687560.61766835,4772980.68141966,1686223216.292759
12.0,0,4742848.4082878,4693034.94256629,4822880.99043419,4785139.77721034,4648550.15888681,4759467.37104972,4687574.69675299,4773017.9116059,1686223216.292786
13.0,0,4743254.6602189,4693463.31496265,4823303.07225899,4785561.51847224,4648956.82222844,4759866.47968813,4687926.31708512,4773428.8549848,1686223216.292813
14.0,0,4743050.76778067,4693252.896182,4823111.21245498,4785396.14482489,4648810.5945547,4759722.74565123,4687824.46059798,4773262.28150917,1686223216.292842
15.0,0,4742472.66082095,4692668.81415222,4822523.9589545,4784804.51729611,4648230.07597293,4759161.69400553,4687277.15300767,4772671.1002821,1686223216.292872
16.0,0,4742785.95908615,4692977.02910104,4822821.33867173,4785089.77493979,4648489.45860435,4759412.43399647,4687467.15199903,4772942.02943598,1686223216.292901
17.0,0,4742839.62245827,4693007.62276992,4822856.75185331,4785146.59325305,4648541.89105681,4759465.85026586,4687532.56966535,4772999.95268748,1686223216.292932
18.0,0,4742966.69459979,4693128.0449011,4822978.87069386,4785271.5146656,4648665.01787962,4759591.23919398,4687691.28934374,4773132.35262252,1686223216.292965
19.0,0,4742652.30578686,4692831.55569204,4822692.14753956,4784948.62694644,4648329.30138373,4759229.86832267,4687285.7875337,4772790.61223762,1686223216.292998
20.0,0,4743047.04702839,4693204.86419475,4823065.95476873,4785348.60124981,4648735.78377126,4759631.07395665,4687721.69473271,4773195.54843493,1686223216.293032
21.0,0,4742788.06704395,4692963.32733703,4822833.4960825,4785107.88521919,4648492.27212774,4759397.83496618,4687507.22057294,4772965.52815106,1686223216.293076
22.0,0,4742827.34281677,4693019.68658118,4822914.78372221,4785171.09324401,4648544.98600194,4759431.30116271,4687514.17840163,4772996.10363426,1686223216.293115
23.0,0,4742986.54323265,4693169.61500262,4823051.49686281,4785345.82496579,4648746.61364978,4759653.24388022,4687781.52982825,4773201.2247343,1686223216.293153
24.0,0,4742639.27190943,4692853.64192314,4822714.17866461,4784975.32962438,4648350.10385344,4759258.81535525,4687322.85191268,4772824.68157156,1686223216.293191
25.0,0,4741648.43662118,4691841.63599318,4821760.56067776,4784026.37057494,4647382.27612131,4758284.50406566,4686315.30149535,4771816.57228533,1686223216.29323
26.0,0,4742866.38031883,4693030.43511681,4822955.98682905,4785245.63376284,4648631.93208858,4759539.43283653,4687616.11606593,4773052.90634847,1686223216.29327
27.0,0,4743144.57250584,4693335.58453922,4823208.69566585,4785493.21917261,4648888.9681963,4759802.131476,4687887.59028902,4773344.52201189,1686223216.293331
28.0,0,4742987.07788883,4693192.93114577,4823035.2584184,4785317.47669816,4648702.36595527,4759590.47847237,4687650.61421276,4773155.83526192,1686223216.293377
29.0,0,4742953.92984231,4693154.83844778,4822985.86960939,4785254.92693357,4648662.49057483,4759555.95280115,4687640.17903728,4773133.89857211,1686223216.293423
30.0,0,4743009.23746118,4693208.02148952,4823046.56021228,4785293.73055302,4648698.2941219,4759604.27687909,4687699.55728535,4773189.35285129,1686223216.293469
31.0,0,4742753.64802744,4692968.90440723,4822789.61345536,4785036.29535389,4648432.37516509,4759334.9363196,4687408.16945865,4772915.60713753,1686223216.293513
32.0,0,4742952.45994438,4693145.19866996,4822981.45110722,4785252.61557972,4648652.41225924,4759555.8058026,4687642.62941514,4773127.22992363,1686223216.29356
33.0,0,4742837.17339652,4693001.53739664,4822879.81920142,4785167.38270391,4648579.77372846,4759508.63838958,4687615.65807789,4773045.80124448,1686223216.294303
34.0,0,4742950.15333982,4693116.59705118,4823017.0941003,4785310.74287092,4648724.02727607,4759667.74938978,4687787.03694995,4773182.04320164,1686223216.294354
35.0,0,4743216.97469981,4693395.92307477,4823279.25055918,4785568.9424521,4648984.9267993,4759922.57949753,4688017.82302203,4773455.42155773,1686223216.294401
36.0,0,4742958.88615617,4693136.88646921,4823033.83889961,4785323.27034049,4648721.46067592,4759652.45317976,4687736.04656876,4773193.82255386,1686223216.294448
37.0,0,4742524.36754629,4692695.64830687,4822601.15531565,4784896.4318632,4648307.99488575,4759252.21107299,4687375.8747064,4772760.5254649,1686223216.294494
38.0,0,4742784.97430424,4692978.52527712,4822864.3436392,4785123.22719904,4648515.70350284,4759440.84146532,4687538.85443727,4772982.16463922,1686223216.294538
39.0,0,4742764.61525145,4692953.86021667,4822823.56477279,4785104.40940473,4648496.21055232,4759413.04698913,4687514.83293607,4772960.96613752,1686223216.294607
40.0,0,4742984.67096354,4693185.58739579,4823010.59973003,4785305.73948871,4648698.18808435,4759610.7349212,4687726.58110945,4773181.15104402,1686223216.294656
41.0,0,4742920.58952873,4693118.01540126,4822938.57601253,4785236.4384241,4648646.89471635,4759583.83803693,4687730.05935828,4773140.20789785,1686223216.294704
42.0,0,4742891.70526261,4693099.98450097,4822928.1934274,4785195.22733737,4648591.01068166,4759526.50961995,4687645.15491342,4773094.14870388,1686223216.294753
43.0,0,4742888.74518696,4693061.93392669,4822909.70465919,4785199.18034316,4648601.42445589,4759548.71854505,4687669.79660014,4773094.79314059,1686223216.294801
44.0,0,4742995.06545559,4693161.6379181,4823025.02068591,4785312.01448503,4648712.38070352,4759663.02284694,4687782.31547156,4773203.41060454,1686223216.294856
45.0,0,4742974.73432778,4693146.36527849,4823005.10557141,4785303.0303005,4648700.94849318,4759667.86986846,4687780.91856711,4773194.6695739,1686223216.294909
46.0,0,4742813.46972381,4693008.1943531,4822850.69319533,4785131.43414644,4648526.12399171,4759492.61412005,4687582.35478423,4773020.31160701,1686223216.294962
47.0,0,4742665.71682789,4692858.82630584,4822699.6086186,4784972.58354946,4648367.93779945,4759332.83631055,4687405.26457289,4772850.15105798,1686223216.295014
48.0,0,4743045.61086319,4693223.46797427,4823077.35984395,4785373.10856776,4648773.74730003,4759749.27169766,4687887.47097501,4773260.14309581,1686223216.295573
49.0,0,4742681.2584441,4692877.04609187,4822734.48374468,4785014.30911733,4648405.94671515,4759380.27831155,4687505.1438189,4772887.18901493,1686223216.295635
50.0,0,4742912.46314836,4693113.87104762,4823005.46230053,4785289.85685198,4648683.59804975,4759633.90728458,4687750.33762774,4773139.66389312,1686223216.295695
51.0,0,4742815.91019139,4693005.38600306,4822912.22168296,4785210.91499288,4648627.25356497,4759575.2468415,4687705.2418949,4773075.10306977,1686223216.295751
52.0,0,4742886.32821277,4693071.01056565,4822949.72949299,4785249.01914416,4648662.41831843,4759630.47247235,4687787.95805986,4773135.49754824,1686223216.295805
53.0,0,4742503.84574629,4692701.78453756,4822588.29087303,4784855.71040379,4648266.4539311,4759213.10360969,4687273.60842016,4772703.6838937,1686223216.29588
54.0,0,4742880.06107746,4693070.74645094,4822945.18522817,4785208.05542001,4648621.9534329,4759570.20324521,4687614.30907378,4773052.30482968,1686223216.295945
55.0,0,4743054.78106184,4693222.64692353,4823086.77016338,4785370.82699273,4648801.57635797,4759800.92348416,4687922.93742769,4773256.82524437,1686223216.296007
56.0,0,4743002.67251206,4693169.47418474,4823015.0176638,4785312.23902326,4648750.05105812,4759775.63588763,4687915.69720784,4773221.93838962,1686223216.296074
57.0,0,4742509.67975549,4692678.90399532,4822531.7262517,4784837.8532987,4648266.07274256,4759301.49859226,4687442.00391205,4772735.45521002,1686223216.296134
58.0,0,4741685.36429265,4691886.89156026,4821750.10800968,4784025.10406238,4647437.89126115,4758447.2973028,4686535.51704426,4771869.80835944,1686223216.296195
59.0,0,4743722.10573592,4693881.99240042,4823749.65359538,4786042.36606198,4649477.99303242,4760512.68502523,4688657.02471516,4773971.86306998,1686223216.296732
60.0,0,4742757.20336284,4692945.39730391,4822802.2956817,4785056.4315723,4648472.97396864,4759491.00859257,4687604.97105013,4772973.23665144,1686223216.296803
61.0,0,4742027.93839008,4692204.57081087,4822058.10754891,4784313.99415967,4647704.49993198,4758698.63195675,4686762.18977001,4772190.74218274,1686223216.296872
62.0,0,4742847.48417173,4692997.68626663,4822864.04284517,4785153.18907859,4648562.13975095,4759551.81297245,4687640.70301547,4773038.43456909,1686223216.296939
63.0,0,4742511.74096056,4692693.51094101,4822534.00974234,4784812.11066743,4648215.67670414,4759229.45355478,4687326.61320669,4772731.60599252,1686223216.297006
64.0,0,4742876.82598548,4693040.26753916,4822891.38239792,4785193.86386269,4648598.16128157,4759616.18765961,4687741.62353779,4773100.18832722,1686223216.297082
65.0,0,4743513.98735735,4693691.37268033,4823542.85275936,4785851.1412446,4649289.57460539,4760321.65349946,4688468.40341686,4773814.86009089,1686223216.297173
66.0,0,4742693.30840686,4692916.05209259,4822770.29446761,4785035.49509482,4648442.98776847,4759458.30973299,4687544.31554477,4772945.07645751,1686223216.297244
67.0,0,4743182.47376216,4693394.61828107,4823257.64714833,4785528.60198581,4648943.13618201,4759959.87640762,4688043.45115312,4773452.3433397,1686223216.297315
68.0,0,4743588.75511744,4693775.03401537,4823648.98502904,4785936.52905591,4649363.65652328,4760391.06899179,4688525.99791301,4773889.62026184,1686223216.297879
69.0,0,4742226.27499319,4692403.95000593,4822283.0112183,4784592.64874685,4648002.18070526,4759030.07506941,4687163.07530487,4772502.22904314,1686223216.297958
70.0,0,4742645.02420569,4692821.81320588,4822683.5873714,4784983.45897479,4648381.83808229,4759397.49458651,4687519.11305377,4772874.12416685,1686223216.298034
71.0,0,4743126.35619268,4693304.53483487,4823161.49476682,4785454.16425304,4648847.15187954,4759853.61629899,4687967.73327837,4773350.78537957,1686223216.298113
72.0,0,4742718.49055615,4692903.92220668,4822748.38617609,4785040.11026141,4648424.13770177,4759412.78229513,4687500.20790418,4772914.22627521,1686223216.298189
73.0,0,4742960.99070297,4693133.17438795,4822976.34170224,4785275.12757161,4648675.63277456,4759672.96100711,4687778.84806401,4773168.86351681,1686223216.298269
74.0,0,4742834.77173564,4693008.15017882,4822855.75562249,4785150.12808087,4648569.18153332,4759580.57915661,4687707.53364159,4773070.34907591,1686223216.298348
75.0,0,4742296.29037077,4692487.06690193,4822342.77393763,4784622.17711277,4648025.10922845,4759018.11898476,4687086.35888692,4772502.49070131,1686223216.298442
76.0,0,4742999.5428598,4693149.93055962,4823021.13259096,4785332.44403929,4648779.52719862,4759799.70583988,4687932.14959954,4773242.68311676,1686223216.298973
77.0,0,4742882.79932658,4693040.94079006,4822905.63197528,4785214.43380091,4648662.43035774,4759703.76938531,4687855.83067612,4773137.45969502,1686223216.299081
78.0,0,4743058.93843163,4693210.33514129,4823079.86687694,4785393.0228345,4648816.87988161,4759851.80661132,4687992.41513074,4773299.68116988,1686223216.299165
79.0,0,4742660.18000574,4692806.52729604,4822681.1134242,4784998.94621025,4648426.14970503,4759448.0706058,4687573.60556484,4772885.6201233,1686223216.299244
80.0,0,4742795.03638011,4692956.86109791,4822849.71707544,4785142.60218941,4648567.11755053,4759578.57077504,4687702.74225243,4773015.31997373,1686223216.299325
81.0,0,4742986.47440717,4693149.22542855,4823052.33747846,4785340.34396868,4648757.07284993,4759754.93946612,4687880.41904073,4773212.63454996,1686223216.29941
82.0,0,4742912.31460092,4693086.83328677,4822986.95045323,4785274.13505018,4648689.58375156,4759682.57183535,4687813.05045941,4773139.19481038,1686223216.299492
83.0,0,4743003.02945645,4693186.93147581,4823063.2666487,4785367.59954,4648794.02395818,4759810.24245269,4687980.36135532,4773248.75039092,1686223216.30004
84.0,0,4742819.07334681,4693035.22825874,4822892.73907363,4785165.16215331,4648571.95385872,4759592.16500678,4687741.03634377,4773034.86773103,1686223216.300136
85.0,0,4742613.1513083,4692813.74912456,4822671.12822504,4784943.12734731,4648339.89658251,4759358.16809944,4687483.78734925,4772803.54310347,1686223216.300224
86.0,0,4742836.69937214,4693021.92423555,4822870.52072588,4785164.07765441,4648564.44924889,4759591.737794,4687732.73104596,4773037.04708508,1686223216.300325
87.0,0,4742579.61954332,4692787.51698819,4822620.75196184,4784892.80247938,4648287.92184095,4759304.17376566,4687386.07633219,4772762.85798223,1686223216.300412
88.0,0,4743037.08663803,4693248.55861932,4823080.32201574,4785344.58562868,4648750.92552432,4759758.83209291,4687838.00889536,4773231.70881007,1686223216.300503
89.0,0,4742837.5508404,4693035.54449305,4822872.9827706,4785146.32701372,4648560.82865925,4759584.75050023,4687696.96594307,4773057.87275202,1686223216.30059
90.0,0,4743074.60508388,4693253.9230938,4823087.58325442,4785387.09499469,4648794.55841969,4759820.37061775,4687955.62258945,4773308.93290163,1686223216.301152
91.0,0,4743065.43793405,4693229.14505956,4823078.00817463,4785401.30269496,4648818.4956423,4759857.60840162,4688038.43202781,4773340.28239751,1686223216.301249
92.0,0,4742925.01054873,4693094.9730744,4822957.43526255,4785258.25915292,4648664.63858991,4759688.88417118,4687847.70694714,4773188.45077435,1686223216.301339
93.0,0,4742976.0547137,4693117.50892671,4822993.95064679,4785316.59747536,4648732.13027275,4759762.29711695,4687931.96564193,4773257.29493027,1686223216.301429
94.0,0,4742921.899907,4693097.79569398,4822980.89154006,4785301.84723719,4648719.38034385,4759747.47080775,4687912.83504368,4773234.13934368,1686223216.301524
95.0,0,4742719.35064686,4692907.46310417,4822786.34270218,4785118.74573833,4648550.38478922,4759594.58124168,4687770.9697773,4773057.92647446,1686223216.301633
96.0,0,4742681.96349234,4692901.92077465,4822783.6801479,4785067.42737992,4648476.94448079,4759517.32157044,4687620.54731145,4772989.90651152,1686223216.302177
97.0,0,4742851.88774338,4693036.87124602,4822920.53104741,4785238.23165114,4648663.28977189,4759732.84986505,4687880.44046067,4773176.17845008,1686223216.302292
98.0,0,4742806.601308,4693009.81453865,4822863.06934576,4785142.45641794,4648551.11454338,4759612.89382932,4687725.50645794,4773068.92576385,1686223216.302388
99.0,0,4742774.19027286,4692955.2806071,4822803.48686473,4785103.2874428,4648519.27833774,4759583.02620046,4687720.65033866,4773028.04298813,1686223216.302482
100.0,0,4742856.41879763,4693047.01853796,4822875.17554883,4785164.34579328,4648572.73768732,4759619.54472901,4687749.48852006,4773077.60144033,1686223216.302579
101.0,0,4742944.18759311,4693116.29058282,4822943.62291707,4785250.93540656,4648677.90822255,4759728.58491963,4687898.01254869,4773178.57625612,1686223216.302675
102.0,0,4742813.08494631,4693016.04945266,4822831.22956442,4785107.3708495,4648525.95512694,4759560.67113723,4687696.78326267,4773019.33519946,1686223216.303239
103.0,0,4742753.31994511,4692946.08704724,4822781.99413767,4785067.05099361,4648485.95017006,4759502.45917538,4687611.02625502,4772954.39624511,1686223216.303346
104.0,0,4742914.72610676,4693109.80466394,4822952.55220292,4785240.99468279,4648668.3860513,4759688.68456845,4687801.87761818,4773128.14591049,1686223216.303445
105.0,0,4742775.04448348,4692951.60768415,4822784.86150199,4785073.00722672,4648493.37595127,4759535.22830745,4687638.0238224,4772965.67979115,1686223216.303561
106.0,0,4743011.83854361,4693168.42104322,4823006.85638168,4785318.94524035,4648755.15519737,4759807.78802961,4687935.8953998,4773224.88038171,1686223216.303668
107.0,0,4741712.49767634,4691903.17710149,4821729.76465793,4784008.68995923,4647421.23284421,4758476.24501137,4686554.64614873,4771883.17981919,1686223216.303767
108.0,0,4743212.70243095,4693383.44874206,4823230.11654158,4785531.99358143,4648964.38456145,4760024.48719077,4688147.52345647,4773425.01762761,1686223216.304351
109.0,0,4743232.66024482,4693434.32067899,4823281.65736789,4785565.53137666,4648993.67687798,4760063.48045855,4688198.88359929,4773489.39535723,1686223216.304465
110.0,0,4743081.53527859,4693298.86470383,4823151.81661526,4785421.55836631,4648831.71628929,4759888.7267249,4688001.23676953,4773320.74142841,1686223216.304625
111.0,0,4742858.54758151,4693076.33931375,4822926.72427305,4785195.96916454,4648600.11697659,4759633.42038793,4687727.73375539,4773081.17740604,1686223216.304761
112.0,0,4743118.55419728,4693307.87780805,4823155.18652858,4785459.27501566,4648877.9806443,4759926.15589241,4688087.96266387,4773365.49891017,1686223216.304874
113.0,0,4742601.86963426,4692809.90522859,4822625.84423034,4784910.69157406,4648313.32985866,4759360.74973934,4687484.79049565,4772820.08972488,1686223216.305516
114.0,0,4742958.92988315,4693149.17619191,4822970.46289308,4785240.90973956,4648639.58107179,4759680.91537805,4687775.62873281,4773155.08460163,1686223216.305641
115.0,0,4742806.08198922,4692974.27163778,4822815.36390862,4785118.71384344,4648542.41505303,4759598.78281424,4687749.21958084,4773046.8630113,1686223216.305754
116.0,0,4742925.63682873,4693127.61189899,4822966.68771439,4785255.02979971,4648672.88537075,4759742.25615353,4687891.66220703,4773176.18685358,1686223216.305868
117.0,0,4743457.89146294,4693652.16564449,4823506.85904716,4785805.40225147,4649240.26006267,4760316.1059792,4688498.16898725,4773741.12873106,1686223216.306003
118.0,0,4742854.6076782,4693076.9301547,4822912.82113902,4785199.94041815,4648623.83307223,4759696.07915802,4687861.23627414,4773120.90305291,1686223216.306596
119.0,0,4741953.92067831,4692171.89176244,4822010.33850601,4784287.5001991,4647698.26143239,4758742.86359029,4686879.65653416,4772163.93287269,1686223216.306734
120.0,0,4740839.33436758,4691058.34769018,4820901.62002185,4783180.78315701,4646572.75808118,4757580.3268896,4685678.56858238,4770982.3593019,1686223216.306848
121.0,0,4743422.98040545,4693610.02093058,4823458.65387033,4785767.96678102,4649190.44294294,4760205.58683346,4688352.55517655,4773634.72314871,1686223216.306963
122.0,0,4743344.40468257,4693558.44913285,4823403.19579174,4785692.22518011,4649098.77659027,4760120.04730861,4688228.27893462,4773564.15669855,1686223216.307085
123.0,0,4743307.98693575,4693506.83160743,4823353.68010795,4785649.83973859,4649065.59829982,4760098.78883153,4688236.01894468,4773546.03156162,1686223216.307704
124.0,0,4743064.65165287,4693264.65750331,4823107.48963033,4785418.3904887,4648846.87619465,4759896.00820097,4688062.59877871,4773326.90615699,1686223216.307807
125.0,0,4742791.24657992,4693000.14492454,4822842.94746462,4785138.76856147,4648560.31152237,4759610.91117362,4687723.12424996,4773038.11679178,1686223216.307916
126.0,0,4742690.35893975,4692906.18612031,4822745.01385625,4785031.21813267,4648439.53496862,4759487.54548074,4687560.20954856,4772910.15968398,1686223216.308016
127.0,0,4743063.69144307,4693277.69796388,4823124.5602394,4785417.73076612,4648836.68244386,4759887.2528276,4687973.00768833,4773323.42857097,1686223216.308118
128.0,0,4742569.497421,4692792.70305545,4822644.58216572,4784926.10618621,4648331.85695831,4759385.58746291,4687456.43635315,4772819.82822521,1686223216.308607
129.0,0,4743011.79010718,4693212.75267171,4823075.87504231,4785377.50152428,4648789.64535718,4759839.49804357,4687909.06948387,4773274.84897078,1686223216.308708
130.0,0,4744144.30480982,4694305.51714667,4824185.08429188,4786504.79568438,4649946.79752309,4761018.93778163,4689166.14779984,4774468.72161181,1686223216.308805
131.0,0,4742559.57713966,4692730.72910562,4822602.73243108,4784916.69690475,4648349.65836651,4759431.04460397,4687604.58053458,4772866.15960056,1686223216.308905
132.0,0,4742387.41002941,4692566.02143545,4822430.48013009,4784738.20866576,4648173.0538308,4759250.48627917,4687441.65698662,4772672.23368402,1686223216.309394
133.0,0,4742557.04925739,4692741.79733104,4822615.94491733,4784908.73940338,4648337.03474706,4759414.38303316,4687567.77651493,4772831.84807137,1686223216.309514
